snt_id,sdr,sdr_i,si-snr,si-snr_i
item1235,26.213198,26.861757,21.129472732543945,21.9648494720459
item1236,27.976624,24.837807,20.813457489013672,18.330204010009766
item1237,21.509706,20.905605,14.994415283203125,15.081974029541016
item1238,26.437862,26.011007,19.521549224853516,19.298877716064453
item1239,24.489323,24.271816,18.305418014526367,19.250192642211914
item123,15.147519,16.100435,13.320691108703613,14.628030776977539
item1240,25.216576,25.422874,18.710554122924805,19.14028549194336
item1241,21.334127,22.764423,17.15028953552246,18.808059692382812
item1242,27.239445,28.06653,20.760242462158203,21.876781463623047
item1243,19.232117,20.597006,15.808886528015137,17.716516494750977
item1244,26.075598,27.054024,20.57908058166504,21.789262771606445
item1245,19.313148,18.79965,14.761695861816406,15.103704452514648
item1246,24.220661,23.82139,20.63495635986328,21.176403045654297
item1247,25.825249,26.71059,19.24175262451172,20.693317413330078
item1248,17.46251,19.638601,12.427868843078613,15.620640754699707
item1249,22.999798,25.363894,17.288558959960938,20.048831939697266
item124,22.770823,23.307095,18.050689697265625,18.779794692993164
item1250,29.915184,30.324228,22.55646514892578,23.108551025390625
item1251,27.739134,28.237133,20.749343872070312,21.3561954498291
item1252,28.961033,28.89496,22.505285263061523,22.54070472717285
item1253,17.620659,13.114841,14.593454360961914,10.783966064453125
item1254,18.036673,19.622812,15.20020866394043,17.463207244873047
item1255,30.117012,30.834984,21.581884384155273,22.67660903930664
item1256,25.595098,26.308613,19.28507423400879,20.2796630859375
item1257,24.593407,25.572104,18.5542049407959,19.97694206237793
item1258,29.68306,29.953405,19.75617790222168,20.21559715270996
item1259,20.94462,21.136337,16.922292709350586,17.860950469970703
item125,23.739172,23.982609,18.569580078125,19.368465423583984
item1260,23.920338,27.786938,18.03898048400879,22.29145050048828
item1261,25.017899,24.920645,18.163623809814453,18.368385314941406
item1262,15.488288,15.858484,12.38231086730957,13.072274208068848
item1263,26.386917,25.619053,17.563129425048828,17.362051010131836
item1264,19.377193,18.460165,15.866100311279297,15.440303802490234
item1265,24.412651,25.471073,18.958816528320312,20.337459564208984
item1266,23.321754,24.046583,16.110881805419922,16.99049186706543
item1267,21.559616,22.351427,16.501035690307617,17.756885528564453
item1268,30.297825,30.12193,22.443256378173828,22.531261444091797
item1269,14.6639,17.050417,11.959402084350586,14.88444709777832
item126,19.226595,19.250504,16.814964294433594,17.068561553955078
item1270,23.812988,23.696484,18.838598251342773,18.888025283813477
item1271,27.306725,27.40749,21.688674926757812,21.980344772338867
item1272,22.38981,23.086493,15.348400115966797,16.55991554260254
item1273,24.865513,24.991951,19.863143920898438,20.228734970092773
item1274,25.27628,24.32409,20.492992401123047,20.006744384765625
item1275,27.980244,27.741165,21.59625244140625,21.44979476928711
item1276,31.417995,32.52867,23.58326530456543,24.934518814086914
item1277,26.589636,30.272097,20.927114486694336,25.220731735229492
item1278,30.837269,32.643635,21.749591827392578,24.21939468383789
item1279,18.453125,19.408037,15.28577995300293,16.579971313476562
item127,22.913338,16.842007,19.108470916748047,13.561119079589844
item1280,13.665319,13.076814,9.76556396484375,9.949298858642578
item1281,25.473707,21.711435,20.826244354248047,17.43154525756836
item1282,27.546452,28.03975,20.894014358520508,21.781753540039062
item1283,16.174795,20.19164,12.941398620605469,18.00632095336914
item1284,24.766525,26.56314,17.64380645751953,19.87381362915039
item1285,23.048536,22.905617,17.25887680053711,17.32593536376953
item1286,21.616226,21.48458,18.336341857910156,18.593242645263672
item1287,22.304512,22.108845,17.026695251464844,17.00802230834961
item1288,23.912054,24.898237,19.25684356689453,20.458402633666992
item1289,25.219334,24.318087,20.534841537475586,19.906686782836914
item128,30.165586,31.340487,21.629396438598633,23.056896209716797
item1290,16.518866,18.263296,13.179424285888672,15.37845516204834
item1291,28.444271,29.79419,20.464111328125,22.075754165649414
item1292,12.685865,13.116559,9.610247611999512,10.184136390686035
item1293,21.887337,23.848104,17.066150665283203,19.47662925720215
item1294,15.849002,16.147638,13.309737205505371,14.020001411437988
item1295,24.778015,25.392944,19.301677703857422,20.159210205078125
item1296,25.830503,26.105059,18.935426712036133,19.466686248779297
item1297,31.612236,31.747131,22.426105499267578,22.80283546447754
item1298,23.70668,24.424202,18.90673065185547,20.040773391723633
item1299,26.972965,27.156826,17.881744384765625,18.183002471923828
item129,24.066404,24.68761,16.85503387451172,17.951412200927734
item12,23.449173,23.073746,19.7701416015625,19.75613784790039
item1300,23.166086,24.2011,17.511642456054688,18.64544677734375
item1301,14.526772,15.707983,11.949886322021484,13.583025932312012
item1302,28.656672,29.176434,23.232961654663086,23.924148559570312
item1303,26.127617,27.394535,18.35928726196289,20.04254150390625
item1304,23.063324,23.398209,20.032541275024414,20.50157928466797
item1305,22.528315,21.952534,18.835918426513672,18.375043869018555
item1306,20.278564,22.671541,15.310090065002441,18.337554931640625
item1307,27.186409,26.665873,20.361892700195312,20.076515197753906
item1308,28.534575,29.663595,21.302364349365234,23.091320037841797
item1309,16.938797,15.503953,14.279936790466309,13.224334716796875
item130,22.398663,22.600657,15.787468910217285,16.26115608215332
item1310,27.382008,27.876705,19.502836227416992,20.311025619506836
item1311,25.941242,26.26757,21.39337921142578,21.852752685546875
item1312,25.6736,25.416485,19.50519371032715,19.547605514526367
item1313,27.7131,27.155663,21.650108337402344,21.290620803833008
item1314,18.751759,18.70493,15.599067687988281,15.654335021972656
item1315,27.6874,27.45184,21.860321044921875,21.765769958496094
item1316,25.017982,24.679123,19.966060638427734,19.95051383972168
item1317,23.357079,25.570745,18.460067749023438,21.1756649017334
item1318,30.03812,29.666859,22.38498878479004,22.307331085205078
item1319,21.219036,20.99679,17.042396545410156,16.9982852935791
item131,23.982689,24.144535,20.467456817626953,20.725305557250977
item1320,25.946636,27.705128,18.206844329833984,20.63555908203125
item1321,19.281937,20.855556,16.45948028564453,18.18889617919922
item1322,22.635002,22.277914,17.783855438232422,17.776296615600586
item1323,27.039833,27.20463,20.044450759887695,20.467945098876953
item1324,21.926647,21.408037,18.529268264770508,18.197843551635742
item1325,26.072895,25.731226,18.163118362426758,18.037626266479492
item1326,22.362183,22.908472,15.845370292663574,16.743236541748047
item1327,23.818048,23.227684,18.866039276123047,18.474084854125977
item1328,25.433979,24.946358,19.9754695892334,20.44080924987793
item1329,23.831623,25.314293,18.007295608520508,19.921117782592773
item132,29.105782,28.976944,20.296451568603516,20.456905364990234
item1330,25.88842,26.968077,19.630626678466797,20.954992294311523
item1331,22.152166,23.122702,19.196517944335938,20.57361602783203
item1332,25.169415,24.729006,21.37749481201172,21.154272079467773
item1333,25.469963,22.637646,16.690486907958984,14.616355895996094
item1334,24.45189,27.81164,19.58021354675293,23.583755493164062
item1335,22.877823,23.071701,19.352481842041016,19.661134719848633
item1336,22.302708,23.967398,16.305458068847656,18.30449104309082
item1337,29.933197,27.246159,21.41309928894043,19.11200523376465
item1338,29.238096,29.084,20.89798355102539,21.317852020263672
item1339,19.184605,19.60571,16.450572967529297,17.043577194213867
item133,25.542248,27.252502,19.3106746673584,21.191137313842773
item1340,27.316236,27.204266,19.239837646484375,19.211654663085938
item1341,26.40113,26.028408,19.343053817749023,19.259002685546875
item1342,21.415783,21.334606,15.928382873535156,16.12761116027832
item1343,29.193806,32.027756,21.685321807861328,24.912864685058594
item1344,24.624443,24.118975,19.851266860961914,19.528770446777344
item1345,23.166628,23.10167,16.869056701660156,17.082345962524414
item1346,26.855875,27.060413,19.915081024169922,20.623950958251953
item1347,23.05346,25.627468,16.447208404541016,19.686376571655273
item1348,23.994652,25.335123,17.128904342651367,18.68746566772461
item1349,25.544716,24.199158,18.750511169433594,17.66954231262207
item134,28.025768,26.686913,20.040943145751953,19.012001037597656
item1350,23.705627,23.837029,17.759445190429688,18.150480270385742
item1351,11.238342,11.374178,9.993598937988281,12.12838363647461
item1352,28.18777,28.96537,21.284950256347656,22.634212493896484
item1353,26.446522,26.03161,19.296537399291992,19.22906494140625
item1354,25.722054,26.278694,19.67275619506836,20.536182403564453
item1355,24.003502,24.125042,17.515392303466797,18.099714279174805
item1356,28.13052,27.910475,21.72674560546875,21.818552017211914
item1357,15.228958,15.584056,13.011280059814453,13.79150390625
item1358,17.24165,16.621399,14.491527557373047,14.369307518005371
item1359,20.333683,21.630104,14.49233341217041,16.591930389404297
item135,28.94267,27.683828,19.967479705810547,19.016237258911133
item1360,14.525953,14.631369,11.329948425292969,11.907098770141602
item1361,18.691334,20.512627,15.273244857788086,17.338537216186523
item1362,25.23523,23.978174,19.35312271118164,18.710758209228516
item1363,26.162443,26.806435,20.126209259033203,20.96755027770996
item1364,25.449158,26.176977,18.955001831054688,20.161434173583984
item1365,14.186998,16.394394,11.144013404846191,14.17359733581543
item1366,19.71565,19.643776,16.09455680847168,16.365577697753906
item1367,17.25655,18.468842,13.695207595825195,15.518199920654297
item1368,24.112675,24.491177,17.437211990356445,18.04785919189453
item1369,17.171034,14.457141,13.153837203979492,11.031658172607422
item136,31.337255,30.779526,22.732807159423828,22.55788230895996
item1370,22.737368,19.943867,18.1953125,16.269506454467773
item1371,25.244074,25.796947,17.502910614013672,18.331579208374023
item1372,25.815594,26.465755,17.110748291015625,18.673873901367188
item1373,17.191896,20.266926,14.653410911560059,18.271263122558594
item1374,22.302275,22.579586,17.161115646362305,17.654052734375
item1375,21.722458,22.741222,15.610889434814453,17.07673454284668
item1376,23.419147,23.2402,17.404560089111328,17.789955139160156
item1377,23.549334,23.805067,17.834857940673828,18.36770248413086
item1378,22.162926,21.789175,18.834087371826172,18.81016731262207
item1379,22.105213,23.938154,15.852874755859375,18.16171646118164
item137,25.054342,26.152988,19.46856689453125,21.327781677246094
item1380,29.873007,30.466242,23.321910858154297,24.19086265563965
item1381,24.814514,26.530449,20.789047241210938,22.826641082763672
item1382,27.957924,29.305277,20.88844108581543,22.494884490966797
item1383,16.402502,15.92129,13.764286041259766,13.625259399414062
item1384,25.545776,24.73353,18.50596046447754,17.96283531188965
item1385,22.329054,22.402206,17.52679443359375,17.883502960205078
item1386,25.32877,23.265926,20.219688415527344,18.771549224853516
item1387,25.685589,24.999392,18.666900634765625,18.35997200012207
item1388,24.062202,24.72483,19.156654357910156,20.018821716308594
item1389,24.219707,24.918962,19.93447494506836,20.980125427246094
item138,20.026947,20.938427,16.676959991455078,17.752586364746094
item1390,26.672365,28.5002,20.953109741210938,23.009544372558594
item1391,25.701172,26.309008,20.11280059814453,20.94866180419922
item1392,18.559237,19.036499,13.763091087341309,14.855175971984863
item1393,25.838062,24.764872,19.612869262695312,18.98377799987793
item1394,30.853256,30.335861,23.371868133544922,23.002891540527344
item1395,23.501984,23.97268,18.103214263916016,19.046049118041992
item1396,23.430859,23.44238,18.451663970947266,18.546709060668945
